DATE,Open,High,Low,Close,Volume
1957-10-14,441.16,446.06,437.74,443.78,2770
1957-10-11,441.71,443.58,434.15,441.16,4460
1957-10-10,451.31,451.31,439.44,441.71,3300
1957-10-09,450.56,456.51,450.12,451.4,2120
1957-10-08,452.42,454.87,446.82,450.56,3190
1957-10-07,461.7,462.14,451.81,452.42,2490
1957-10-04,465.82,466.02,460.71,461.7,1520
1957-10-03,465.03,466.84,461.67,465.82,1590
1957-10-02,461.79,468.15,461.79,465.03,1760
1957-10-01,456.3,461.91,455.55,460.8,1680
1957-09-30,456.89,459.28,454.7,456.3,1520
1957-09-27,457.01,462.4,454.2,456.89,1750
1957-09-26,456.95,460.6,452.98,457.01,2130
1957-09-25,462.87,463.57,452.19,456.95,2770
1957-09-24,458.96,466.02,457.3,462.87,2840
1957-09-23,465.97,465.97,457.15,458.96,3160
1957-09-20,474.55,474.55,466.75,468.42,2340
1957-09-19,478.6,479.59,475.01,476.12,1520
1957-09-18,478.28,481.08,476.88,478.6,1540
1957-09-17,478.08,480.44,474.17,478.28,1490
1957-09-16,481.02,481.05,476.3,478.08,1290
1957-09-13,480.56,483.68,478.72,481.02,1620
1957-09-12,474.4,482.31,473.99,480.56,2010
1957-09-11,470.23,475.3,467.1,474.4,2130
1957-09-10,474.28,476.53,468.77,470.23,1870
1957-09-09,478.49,478.49,472.77,474.28,1420
1957-09-06,479.51,481.87,477.06,478.63,1320
1957-09-05,481.64,481.64,476.76,479.51,1420
1957-09-04,486.13,486.19,481.35,482.6,1260
1957-09-03,484.35,487.59,481.32,486.13,1490
1957-09-02,            na,            na,            na,            na,            na
1957-08-30,476.71,484.82,476.71,484.35,1600
1957-08-29,477.79,478.19,471.98,476.06,1630
1957-08-28,477.55,482.75,476.38,477.79,1840
1957-08-27,470.84,479.36,470.84,477.55,2250
1957-08-26,475.74,476.44,469.03,470.14,2680
1957-08-23,481.46,481.73,474.81,475.74,1960
1957-08-22,485.14,485.29,479.77,481.46,1500
1957-08-21,483.86,488.23,482.1,485.14,1720
1957-08-20,478.95,485.49,474.52,483.86,2700
1957-08-19,487.68,487.68,478.16,478.95,2040
1957-08-16,487.3,490.42,485.37,488.2,1470
1957-08-15,485.93,490.28,482.1,487.3,2040
1957-08-14,492.14,493.55,484.32,485.93,2040
1957-08-13,492.32,495.68,489.96,492.14,1580
1957-08-12,496.23,496.23,489.9,492.32,1650
1957-08-09,496.87,498.59,493.46,496.78,1570
1957-08-08,498.48,500.9,495.03,496.87,1690
1957-08-07,494.13,499.59,490.25,498.48,2460
1957-08-06,500.72,500.72,493.55,494.13,1910
1957-08-05,505.1,505.57,498.62,500.78,1790
1957-08-02,506.21,508.66,501.98,505.1,1610
1957-08-01,508.52,509.98,504.69,506.21,1660
1957-07-31,508.93,512.69,507.26,508.52,1830
1957-07-30,508.25,510.44,504.9,508.93,1780
1957-07-29,514.59,515.64,507,508.25,1990
1957-07-26,516.69,517.97,512.89,514.59,1710
1957-07-25,515.78,518.26,514.15,516.69,1800
1957-07-24,515.61,518.24,512.46,515.78,1730
1957-07-23,515.32,517.65,513.33,515.61,1840
1957-07-22,515.73,518.24,513.62,515.32,1950
1957-07-19,515.64,517.94,512.08,515.73,1930
1957-07-18,515.11,519.34,513.33,515.64,2130
1957-07-17,517.42,518.64,513.13,515.11,2060
1957-07-16,520.16,523.11,516.28,517.42,2510
1957-07-15,520.77,522.91,516.6,520.16,2480
1957-07-12,517.97,521.94,514.88,520.77,2240
1957-07-11,519.81,522.2,515,517.97,2830
1957-07-10,516.37,521.68,515.11,519.81,2880
1957-07-09,518.41,520.22,513.51,516.37,2450
1957-07-08,516.89,521.71,515.32,518.41,2840
1957-07-05,513.42,518.7,513.42,516.89,2240
1957-07-04,            na,            na,            na,            na,            na
1957-07-03,507.99,515.23,507.99,513.25,2720
1957-07-02,503.29,509.36,502.86,507.55,2450
1957-07-01,503.29,506.18,500.75,503.29,1840
1957-06-28,503.03,506.53,500.81,503.29,1770
1957-06-27,500.78,504.29,498.36,503.03,1800
1957-06-26,501.98,504.75,498.24,500.78,1870
1957-06-25,497.69,504.69,497.69,501.98,2000
1957-06-24,500,500.99,492.87,497.08,2040
1957-06-21,503.56,504.52,497.81,500,1970
1957-06-20,505.92,507.87,501.31,503.56,2050
1957-06-19,511.32,512.69,505.28,505.92,2220
1957-06-18,513.19,515.2,506.68,511.32,2440
1957-06-17,511.79,516.81,510.38,513.19,2220
1957-06-14,511.58,514.38,508.93,511.79,2090
1957-06-13,509.66,514.27,508.23,511.58,2630
1957-06-12,509.48,513.36,507.76,509.66,2600
1957-06-11,504.93,511.7,504.93,509.48,2850
1957-06-10,505.63,507.87,497.78,503.76,2050
1957-06-07,504.55,508.14,502.88,505.63,2380
1957-06-06,502.07,506.39,501.13,504.55,2300
1957-06-05,502.97,504.37,499.38,502.07,1940
1957-06-04,503.76,506.68,499.53,502.97,2200
1957-06-03,504.93,507.96,500.46,503.76,2050
1957-05-31,502.18,507.76,501.57,504.93,2050
1957-05-30,            na,            na,            na,            na,            na
1957-05-29,498.1,503.56,498.1,502.18,2270
1957-05-28,499.21,499.62,494.42,497.72,2070
1957-05-27,504.02,505.07,497.89,499.21,2290
1957-05-24,504.02,506.94,502.15,504.02,2340
1957-05-23,504.43,506.04,500.9,504.02,2110
1957-05-22,506.04,506.82,502.36,504.43,2060
1957-05-21,505.98,507.9,503.32,506.04,2370
1957-05-20,505.6,508.75,503.82,505.98,2300
1957-05-17,504.84,508.87,503.58,505.6,2510
1957-05-16,501.98,507.06,501.16,504.84,2690
1957-05-15,500.46,504.87,498.27,501.98,2590
1957-05-14,502.21,504.43,498.16,500.46,2580
1957-05-13,498.51,503.93,498.51,502.21,2720
1957-05-10,496.76,500.46,495.15,498.3,2430
1957-05-09,496.73,499.21,494.8,496.76,2520
1957-05-08,494.68,498.13,493.34,496.73,2590
1957-05-07,496.32,497.78,492.29,494.68,2300
1957-05-06,497.54,500.29,494.86,496.32,2210
1957-05-03,498.56,501.34,495,497.54,2390
1957-05-02,495.76,501.13,494.98,498.56,2860
1957-05-01,494.36,498.04,493.05,495.76,2310
1957-04-30,493.95,496.49,491.62,494.36,2200
1957-04-29,491.5,496.67,490.77,493.95,2290
1957-04-26,492.29,493.92,488.41,491.5,2380
1957-04-25,493.66,496.03,490.19,492.29,2640
1957-04-24,491.88,497.22,489.87,493.66,2990
1957-04-23,488.79,494.1,487.12,491.88,2840
1957-04-22,488.03,491.59,485.9,488.79,2560
1957-04-19,            na,            na,            na,            na,            na
1957-04-18,485.02,489.43,483.51,488.03,2480
1957-04-17,484.32,487.47,482.22,485.02,2290
1957-04-16,485.84,487.15,482.69,484.32,1890
1957-04-15,486.72,488.53,483.62,485.84,2010
1957-04-12,484.7,488.76,482.78,486.72,2370
1957-04-11,485.17,486.86,481.75,484.7,2350
1957-04-10,482.66,486.98,482.02,485.17,2920
1957-04-09,479.04,484.32,478.4,482.66,2400
1957-04-08,477.61,480.44,475.86,479.04,1950
1957-04-05,477.43,479.45,475.68,477.61,1830
1957-04-04,478.31,479.62,475.45,477.43,1820
1957-04-03,477.55,481.08,476.73,478.31,2160
1957-04-02,474.98,478.4,473.7,477.55,2300
1957-04-01,474.81,476.82,473.09,474.98,1620
1957-03-29,475.01,477.32,473.14,474.81,1650
1957-03-28,473.12,476.88,472.27,475.01,1930
1957-03-27,472.24,475.1,471.01,473.12,1710
1957-03-26,471.51,474.02,468.91,472.24,1660
1957-03-25,472.94,474.05,469.7,471.51,1590
1957-03-22,474.02,475.57,471.04,472.94,1610
1957-03-21,473.93,475.98,471.36,474.02,1630
1957-03-20,473.93,476.38,472.85,473.93,1830
1957-03-19,472.3,475.22,471.01,473.93,1540
1957-03-18,474.28,474.66,470.17,472.3,1450
1957-03-15,473.93,476.12,471.19,474.28,1600
1957-03-14,472.53,475.45,471.39,473.93,1580
1957-03-13,470.31,474.37,469.88,472.53,1840
1957-03-12,469.5,471.45,466.69,470.31,1600
1957-03-11,471.63,472.06,467.37,469.5,1650
1957-03-08,474.17,474.4,470.4,471.63,1630
1957-03-07,474.87,477.58,472.62,474.17,1830
1957-03-06,472.88,475.77,470.43,474.87,1840
1957-03-05,471.48,475.13,471.04,472.88,1860
1957-03-04,468.91,472.97,468.15,471.48,1890
1957-03-01,464.62,469.76,463.66,468.91,1700
1957-02-28,466.26,468.5,463.51,464.62,1620
1957-02-27,467.72,469,463.95,466.26,1620
1957-02-26,466.9,470.34,465.76,467.72,1580
1957-02-25,466.93,469,463.4,466.9,1710
1957-02-22,            na,            na,            na,            na,            na
1957-02-21,469,470.08,465.15,466.93,1680
1957-02-20,466.84,471.1,465.99,469,1790
1957-02-19,467.4,469.23,463.63,466.84,1670
1957-02-18,468.07,471.22,465.21,467.4,1800
1957-02-15,461.56,468.83,459.37,468.07,2060
1957-02-14,462.14,467.04,459.69,461.56,2220
1957-02-13,454.87,462.7,454.87,462.14,2380
1957-02-12,457.44,459.87,453.07,454.82,2550
1957-02-11,465.5,465.5,456.01,457.44,2740
1957-02-08,468.71,468.88,463.19,466.29,2120
1957-02-07,470.81,473.93,467.42,468.71,1840
1957-02-06,469.96,472.02,466.4,470.81,2110
1957-02-05,476.18,476.18,466.65,469.96,2610
1957-02-04,477.22,479.54,475.49,477.19,1750
1957-02-01,479.16,479.76,474.43,477.22,1680
1957-01-31,480.53,483.02,478.04,479.16,1920
1957-01-30,476.92,481.95,476.42,480.53,1950
1957-01-29,474.59,478.31,473.19,476.92,1800
1957-01-28,478.34,478.48,473.14,474.59,1700
1957-01-25,481.3,481.76,475.19,478.34,2010
1957-01-24,479.93,483.57,478.34,481.3,1910
1957-01-23,477.49,481.24,475.25,479.93,1920
1957-01-22,475.9,480.45,475.71,477.49,1920
1957-01-21,477.46,478.29,471.06,475.9,2740
1957-01-18,484.01,486.42,476.23,477.46,2400
1957-01-17,485.05,486.91,481.08,484.01,2140
1957-01-16,484.75,488.28,483.19,485.05,2210
1957-01-15,489.29,490.41,482.94,484.75,2370
1957-01-14,493.81,494.49,487.65,489.29,2350
1957-01-11,495.51,497.78,492.11,493.81,2340
1957-01-10,493.21,498,492.74,495.51,2470
1957-01-09,493.86,496.9,490.77,493.21,2330
1957-01-08,495.2,497.2,491.29,493.86,2230
1957-01-07,498.22,500.9,491.78,495.2,2500
1957-01-04,499.2,502.57,496.24,498.22,2710
1957-01-03,496.03,501.56,494.16,499.2,2260
1957-01-02,499.47,501.01,492.06,496.03,1960
1957-01-01,            na,            na,            na,            na,            na
1956-12-31,496.41,501.56,494.96,499.47,3680
1956-12-28,496.38,498.68,493.89,496.41,2790
1956-12-27,496.74,499.39,494.79,496.38,2420
1956-12-26,494.38,500.32,494,496.74,2440
1956-12-25,            na,            na,            na,            na,            na
1956-12-24,            na,            na,            na,            na,            na
1956-12-21,490.44,496.22,489.1,494.38,2380
1956-12-20,493.81,494.57,489.29,490.44,2060
1956-12-19,495.09,497.15,492.19,493.81,1900
1956-12-18,493.75,497.7,491.97,495.09,2370
1956-12-17,492.08,497.26,490.82,493.75,2500
1956-12-14,490.47,493.75,488.69,492.08,2450
1956-12-13,487.51,492.77,486.03,490.47,2370
1956-12-12,490.36,491.75,486.06,487.51,2180
1956-12-11,493.18,494.44,487.68,490.36,2210
1956-12-10,494.79,498.95,492.14,493.18,2600
1956-12-07,492.74,497.09,491.21,494.79,2400
1956-12-06,488.55,495.18,487.32,492.74,2470
1956-12-05,481.38,490.71,480.61,488.55,2360
1956-12-04,480.61,483.82,479.08,481.38,2180
1956-12-03,474.26,482.8,474.26,480.61,2570
1956-11-30,467.09,474.59,467.09,472.78,2300
1956-11-29,466.1,468.1,460.41,466.62,2440
1956-11-28,470.18,472.81,465.2,466.1,2190
1956-11-27,470.29,472.18,467.25,470.18,2130
1956-11-26,472.56,476.89,468.73,470.29,2230
1956-11-23,467.91,473.69,466.73,472.56,1880
1956-11-22,            na,            na,            na,            na,            na
1956-11-21,470.07,472.37,466.16,467.91,2310
1956-11-20,474.56,475.66,468.16,470.07,2240
1956-11-19,480.67,481.05,472.54,474.56,2560
1956-11-16,480.2,483.51,478.15,480.67,1820
1956-11-15,482.36,486.28,479.11,480.2,2210
1956-11-14,486.69,487.27,479.96,482.36,2290
1956-11-13,487.05,490.71,484.99,486.69,2140
1956-11-12,485.35,488.91,483.6,487.05,1600
1956-11-09,488.72,490.5,483.57,485.35,1690
1956-11-08,491.15,491.32,483.21,488.72,1970
1956-11-07,495.37,500.52,490.22,491.15,2650
1956-11-06,            na,            na,            na,            na,            na
1956-11-05,490.47,497.7,488.72,495.37,2830
1956-11-02,487.62,493.4,486.42,490.47,2180
1956-11-01,480.23,488.72,480.23,487.62,1890
1956-10-31,486.47,486.47,476.83,479.85,2280
1956-10-30,486.94,488.58,483.4,486.47,1830
1956-10-29,486.06,494.11,484.83,486.94,2420
1956-10-26,481.08,487.07,480.91,486.06,1800
1956-10-25,482.67,483.3,478.29,481.08,1580
1956-10-24,485.05,485.9,481.05,482.67,1640
1956-10-23,485.27,487.05,483.19,485.05,1390
1956-10-22,486.12,487.98,483.95,485.27,1430
1956-10-19,486.31,489.46,484.45,486.12,1720
1956-10-18,484.66,487.35,481.57,486.31,1640
1956-10-17,487.57,488.83,482.47,484.66,1640
1956-10-16,489.4,490.58,485.1,487.57,1580
1956-10-15,490.19,493.01,487.76,489.4,1610
1956-10-12,488.06,490.93,486.36,490.19,1330
1956-10-11,487.32,491.18,485.9,488.06,1760
1956-10-10,481.32,487.54,480.37,487.32,1620
1956-10-09,483.38,483.68,479.22,481.32,1220
1956-10-08,482.39,486.47,481.54,483.38,1450
1956-10-05,481.24,483.62,478.86,482.39,1580
1956-10-04,482.04,483.98,478.37,481.24,1600
1956-10-03,476.97,484.06,476.97,482.04,2180
1956-10-02,468.73,477.11,468.73,475.41,2400
1956-10-01,475.25,475.38,463.83,468.7,2600
1956-09-28,479.76,481.13,474.23,475.25,1720
1956-09-27,481.6,485.21,477.85,479.76,1770
1956-09-26,481.08,483.46,474.86,481.6,2370
1956-09-25,487.7,488.31,479.57,481.08,2100
1956-09-24,490.33,492.08,486.53,487.7,1840
1956-09-21,488,493.86,488,490.33,2110
1956-09-20,488.72,489.4,482.86,487.13,2150
1956-09-19,493.45,494.66,487.68,488.72,2040
1956-09-18,498.76,499.12,490.5,493.45,2200
1956-09-17,500.32,502.4,496.49,498.76,1940
1956-09-14,499.69,503.39,497.94,500.32,2110
1956-09-13,499.97,502.92,497.56,499.69,2000
1956-09-12,502.16,504.43,498.43,499.97,1930
1956-09-11,505.56,505.63,499.26,502.16,1920
1956-09-10,506.76,509.79,503.92,505.56,1860
1956-09-07,509.49,509.55,504.39,506.76,1690
1956-09-06,509.82,512.25,507.74,509.49,1550
1956-09-05,507.66,512.68,507.34,509.82,2130
1956-09-04,502.04,508.32,501.17,507.66,1790
1956-09-03,            na,            na,            na,            na,            na
1956-08-31,495.96,503.51,495.96,502.04,1620
1956-08-30,499.91,499.91,492.19,495.96,2050
1956-08-29,503.05,504.25,498.85,500.9,1530
1956-08-28,505.7,507.74,502.26,503.05,1400
1956-08-27,507.91,510.28,504.58,505.7,1420
1956-08-24,507.06,510.77,505.83,507.91,1530
1956-08-23,502.34,508.95,502.23,507.06,1590
1956-08-22,505.43,507.72,501.6,502.34,1570
1956-08-21,509.25,509.25,500.84,505.43,2440
1956-08-20,515.79,516.26,510.12,511.24,1770
1956-08-17,517.19,518.52,514.13,515.79,1720
1956-08-16,517.7,519.42,514.73,517.19,1790
1956-08-15,517.27,521.11,516.01,517.7,2000
1956-08-14,514.4,519.23,512.77,517.27,1790
1956-08-13,517.38,518.25,512.08,514.4,1730
1956-08-10,519.04,519.67,513.15,517.38,2040
1956-08-09,518.74,523.24,517.13,519.04,2550
1956-08-08,515.88,521.41,515.33,518.74,2480
1956-08-07,513.88,518.3,511.67,515.88,2180
1956-08-06,518.85,518.85,509.65,513.88,2280
1956-08-03,520.95,522.72,517.51,520.27,2210
1956-08-02,518.69,523.33,516.83,520.95,2530
1956-08-01,517.81,521.5,515.55,518.69,2230
1956-07-31,513.42,519.97,512.85,517.81,2520
1956-07-30,512.3,515.22,508.59,513.42,2100
1956-07-27,515.85,516.5,507.85,512.3,2240
1956-07-26,514.13,517.62,513.2,515.85,2060
1956-07-25,513.17,516.8,511.67,514.13,2220
1956-07-24,513.61,516.78,511.26,513.17,2040
1956-07-23,514.57,516.01,511.65,513.61,1970
1956-07-20,513.86,516.37,512.36,514.57,2020
1956-07-19,513.39,515.96,511.65,513.86,1950
1956-07-18,514.43,517.59,511.73,513.39,2530
1956-07-17,512.98,516.78,510.91,514.43,2520
1956-07-16,511.1,515.19,510.17,512.98,2260
1956-07-13,507.44,512.36,506.46,511.1,2020
1956-07-12,509.65,511.05,505.26,507.44,2180
1956-07-11,508.34,511.92,507.2,509.65,2520
1956-07-10,506.52,510.72,504.85,508.34,2450
1956-07-09,504.14,509.08,503.24,506.52,2180
1956-07-06,500.54,506.24,500.08,504.14,2180
1956-07-05,495.74,502.51,494.67,500.54,2240
1956-07-04,            na,            na,            na,            na,            na
1956-07-03,491.92,496.97,491.02,495.74,1840
1956-07-02,492.78,493.65,488.36,491.92,1610
1956-06-29,492.5,494.82,489.85,492.78,1780
1956-06-28,492.04,494.34,488.91,492.5,1900
1956-06-27,489.37,494.16,488.85,492.04,2090
1956-06-26,486.43,490.77,484.83,489.37,1730
1956-06-25,487.95,489.74,485.34,486.43,1500
1956-06-22,488.26,491.46,486.12,487.95,1630
1956-06-21,485.06,490.45,485.06,488.26,1820
1956-06-20,484.52,487.05,482.7,485,1670
1956-06-19,483.91,486.38,481.18,484.52,1430
1956-06-18,485.91,487.3,482.9,483.91,1440
1956-06-15,485.52,487.58,484.15,485.91,1550
1956-06-14,487.08,488.02,483.99,485.52,1670
1956-06-13,485.49,489.69,484.45,487.08,1760
1956-06-12,479.41,486.1,478.7,485.49,1900
1956-06-11,476.15,481.22,476.15,479.41,2000
1956-06-08,480.83,480.83,467.99,475.29,3630
1956-06-07,480.54,485.2,480.14,482.99,1630
1956-06-06,483.19,483.36,477.95,480.54,1460
1956-06-05,483.22,485.82,481.73,483.19,1650
1956-06-04,480.63,484.6,479.48,483.22,1500
1956-06-01,478.05,481.52,475.54,480.63,1440
1956-05-31,477.68,483.53,476.43,478.05,2020
1956-05-30,            na,            na,            na,            na,            na
1956-05-29,470.43,478.99,470.43,477.68,2430
1956-05-28,472.49,474.16,463.85,468.81,2780
1956-05-25,473.51,477.79,469.31,472.49,2570
1956-05-24,480.16,481.81,471.71,473.51,2600
1956-05-23,484.13,487.6,479.38,480.16,2140
1956-05-22,490.08,490.08,481.86,484.13,2290
1956-05-21,496.13,496.13,488.93,491.62,1940
1956-05-18,496.63,500.65,494.75,496.39,2020
1956-05-17,492.69,497.93,492.22,496.63,1970
1956-05-16,494.83,497.67,490.97,492.69,2080
1956-05-15,497.28,497.86,490.73,494.83,2650
1956-05-14,501.25,505.79,496,497.28,2440
1956-05-11,501.56,503.18,497.57,501.25,2450
1956-05-10,508.16,509.44,499.86,501.56,2850
1956-05-09,509.13,511.74,506.05,508.16,2550
1956-05-08,512.89,513.62,508.03,509.13,2440
1956-05-07,516.44,518.5,511.74,512.89,2550
1956-05-04,514.03,519.8,513.49,516.44,2860
1956-05-03,512.78,516.57,511.43,514.03,2640
1956-05-02,513.96,515.08,510.93,512.78,2440
1956-05-01,516.12,516.88,511.24,513.96,2500
1956-04-30,512.03,518.42,511.19,516.12,2730
1956-04-27,507.95,513.98,507.95,512.03,2760
1956-04-26,503.86,508.92,503.86,507.12,2630
1956-04-25,503.36,505.48,500.99,503.02,2270
1956-04-24,507.28,508.95,501.77,503.36,2500
1956-04-23,507.2,510.77,506,507.28,2440
1956-04-20,504.33,508.66,503.91,507.2,2320
1956-04-19,506.55,507.95,502.45,504.33,2210
1956-04-18,507.95,511.03,504.61,506.55,2470
